1	11
2	2
3	3
4	1
5	10
6	8
7	8
8	5
9	7
10	7
11	3
12	7
13	14
14	3
15	6
16	4
17	1
18	13
19	13
20	5
21	7
22	5
23	8
24	1
25	4
26	3
27	5
28	5
29	8
30	14
31	8
32	7
33	9
34	9
35	9
36	9
37	4
38	9
39	11
40	11
41	2
42	11
43	10
44	2
45	10
46	2
47	1
48	12
49	14
50	2
51	3
52	4
53	12
54	4
55	14
56	4
57	6
58	11
59	9
60	1
61	14
62	13
63	2
64	1
65	13
66	6
67	11
68	11
69	14
70	14
71	6
72	12
73	1
74	10
75	11
76	12
77	12
78	6
79	6
80	13
81	10
82	10
83	13
84	12
85	12
86	6
87	6
88	1
89	10
90	12
91	10
92	13
93	1
94	6
95	13
96	13
97	10
98	12
99	10
100	12
